CpuName,GpuName,GameName,CpuNumberOfCores,CpuNumberOfThreads,CpuFrequency,CpuTurboClock,CpuCacheL3,CpuTDP,GpuMemorySize,GpuBandwidth,GpuMemoryBus,GpuNumberOfShadingUnits,GpuBaseClock,GpuBoostClock,GpuNumberOfROPs,GpuFP32Performance,GameSetting,GameSetting_Normalized,GameSetting_Ordinal,GameResolution,FPS
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,12.0,24.0,3800.0,4600.0,64.0,105.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,215.3
AMD Ryzen 7 3800X,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,8.0,16.0,3900.0,4500.0,32.0,105.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,213.2
AMD Ryzen 7 3700X,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,8.0,16.0,3600.0,4400.0,32.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,210.2
AMD Ryzen 5 3600X,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,12.0,3800.0,4400.0,32.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,209.2
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,12.0,3600.0,4200.0,32.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,203.2
AMD Ryzen 5 2600X,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,12.0,3600.0,4250.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,197.3
AMD Ryzen 5 1600X,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,12.0,3600.0,4000.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,185.2
AMD Ryzen 5 2600,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,6.0,12.0,3400.0,3900.0,16.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,183.2
AMD Ryzen 7 1700X,NVIDIA GeForce RTX 2080 Ti,callOfDutyWW2,8.0,16.0,3400.0,3800.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,177.2
Intel Core i9-9900K,NVIDIA GeForce RTX 2080,callOfDutyWW2,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,208.6
Intel Core i7-9700K,NVIDIA GeForce RTX 2080,callOfDutyWW2,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,206.7
Intel Core i7-8700K,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,12.0,3700.0,4700.0,12.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,191.9
Intel Core i7-7700K,NVIDIA GeForce RTX 2080,callOfDutyWW2,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,186.4
Intel Core i5-9400F,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,6.0,2900.0,4100.0,9.0,65.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,184.4
Intel Core i5-8600K,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,6.0,3600.0,4300.0,9.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,182.6
Intel Core i5-8400,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,6.0,2800.0,4000.0,9.0,65.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,179.0
Intel Core i5-7600K,NVIDIA GeForce RTX 2080,callOfDutyWW2,4.0,4.0,3800.0,4200.0,6.0,91.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,177.1
Intel Core i5-7500,NVIDIA GeForce RTX 2080,callOfDutyWW2,4.0,4.0,3400.0,3800.0,6.0,65.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,167.7
Intel Core i3-7100,NVIDIA GeForce RTX 2080,callOfDutyWW2,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,139.8
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2080,callOfDutyWW2,12.0,24.0,3800.0,4600.0,64.0,105.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,199.3
AMD Ryzen 7 3800X,NVIDIA GeForce RTX 2080,callOfDutyWW2,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,197.5
AMD Ryzen 7 3700X,NVIDIA GeForce RTX 2080,callOfDutyWW2,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,194.6
AMD Ryzen 5 3600X,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,12.0,3800.0,4400.0,32.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,193.7
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,12.0,3600.0,4200.0,32.0,65.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,188.2
AMD Ryzen 5 2600X,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,12.0,3600.0,4250.0,16.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,182.6
AMD Ryzen 5 1600X,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,12.0,3600.0,4000.0,16.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,171.5
AMD Ryzen 5 2600,NVIDIA GeForce RTX 2080,callOfDutyWW2,6.0,12.0,3400.0,3900.0,16.0,65.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,169.6
AMD Ryzen 7 1700X,NVIDIA GeForce RTX 2080,callOfDutyWW2,8.0,16.0,3400.0,3800.0,16.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,164.1
Intel Core i9-9900K,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,8.0,16.0,3600.0,5000.0,16.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,204.7
Intel Core i7-9700K,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,8.0,8.0,3600.0,4900.0,12.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,202.9
Intel Core i7-8700K,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,12.0,3700.0,4700.0,12.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,188.5
Intel Core i7-7700K,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,4.0,8.0,4200.0,4500.0,8.0,91.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,182.4
Intel Core i5-9400F,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,6.0,2900.0,4100.0,9.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,181.0
Intel Core i5-8600K,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,6.0,3600.0,4300.0,9.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,179.2
Intel Core i5-8400,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,6.0,2800.0,4000.0,9.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,176.2
Intel Core i5-7600K,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,4.0,4.0,3800.0,4200.0,6.0,91.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,173.6
Intel Core i5-7500,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,4.0,4.0,3400.0,3800.0,6.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,165.6
Intel Core i3-7100,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,2.0,4.0,3900.0,3900.0,3.0,51.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,137.0
AMD Ryzen 9 3900X,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,12.0,24.0,3800.0,4600.0,64.0,105.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,195.6
AMD Ryzen 7 3800X,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,8.0,16.0,3900.0,4500.0,32.0,105.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,193.7
AMD Ryzen 7 3700X,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,8.0,16.0,3600.0,4400.0,32.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,191.0
AMD Ryzen 5 3600X,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,12.0,3800.0,4400.0,32.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,190.1
AMD Ryzen 5 3600,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,12.0,3600.0,4200.0,32.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,184.6
AMD Ryzen 5 2600X,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,12.0,3600.0,4250.0,16.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,179.2
AMD Ryzen 5 1600X,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,12.0,3600.0,4000.0,16.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,168.0
AMD Ryzen 5 2600,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,6.0,12.0,3400.0,3900.0,16.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,166.4
AMD Ryzen 7 1700X,NVIDIA GeForce GTX 1080 Ti,callOfDutyWW2,8.0,16.0,3400.0,3800.0,16.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,161.2
Intel Core i9-9900K,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,8.0,16.0,3600.0,5000.0,16.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,203.7
Intel Core i7-9700K,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,8.0,8.0,3600.0,4900.0,12.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,201.9
Intel Core i7-8700K,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,12.0,3700.0,4700.0,12.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,187.4
Intel Core i7-7700K,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,4.0,8.0,4200.0,4500.0,8.0,91.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,182.0
Intel Core i5-9400F,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,6.0,2900.0,4100.0,9.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,180.1
Intel Core i5-8600K,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,6.0,3600.0,4300.0,9.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,178.4
Intel Core i5-8400,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,6.0,2800.0,4000.0,9.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,174.6
Intel Core i5-7600K,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,4.0,4.0,3800.0,4200.0,6.0,91.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,172.8
Intel Core i5-7500,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,4.0,4.0,3400.0,3800.0,6.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,163.8
Intel Core i3-7100,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,2.0,4.0,3900.0,3900.0,3.0,51.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,136.5
AMD Ryzen 9 3900X,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,12.0,24.0,3800.0,4600.0,64.0,105.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,194.5
AMD Ryzen 7 3800X,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,8.0,16.0,3900.0,4500.0,32.0,105.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,192.7
AMD Ryzen 7 3700X,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,8.0,16.0,3600.0,4400.0,32.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,190.1
AMD Ryzen 5 3600X,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,12.0,3800.0,4400.0,32.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,189.1
AMD Ryzen 5 3600,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,12.0,3600.0,4200.0,32.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,183.7
AMD Ryzen 5 2600X,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,12.0,3600.0,4250.0,16.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,178.4
AMD Ryzen 5 1600X,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,12.0,3600.0,4000.0,16.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,167.4
AMD Ryzen 5 2600,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,6.0,12.0,3400.0,3900.0,16.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,165.6
AMD Ryzen 7 1700X,NVIDIA GeForce GTX TITAN X,callOfDutyWW2,8.0,16.0,3400.0,3800.0,16.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,160.2
Intel Core i9-9900K,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,202.6
Intel Core i7-9700K,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,200.8
Intel Core i7-8700K,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,12.0,3700.0,4700.0,12.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,186.4
Intel Core i7-7700K,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,181.0
Intel Core i5-9400F,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,6.0,2900.0,4100.0,9.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,179.1
Intel Core i5-8600K,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,6.0,3600.0,4300.0,9.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,177.4
Intel Core i5-8400,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,6.0,2800.0,4000.0,9.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,173.8
Intel Core i5-7600K,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,4.0,4.0,3800.0,4200.0,6.0,91.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,172.0
Intel Core i5-7500,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,4.0,4.0,3400.0,3800.0,6.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,162.9
Intel Core i3-7100,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,135.7
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,12.0,24.0,3800.0,4600.0,64.0,105.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,193.6
AMD Ryzen 7 3800X,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,191.7
AMD Ryzen 7 3700X,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,189.1
AMD Ryzen 5 3600X,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,12.0,3800.0,4400.0,32.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,188.1
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,12.0,3600.0,4200.0,32.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,182.8
AMD Ryzen 5 2600X,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,12.0,3600.0,4250.0,16.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,177.4
AMD Ryzen 5 1600X,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,12.0,3600.0,4000.0,16.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,166.5
AMD Ryzen 5 2600,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,6.0,12.0,3400.0,3900.0,16.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,164.7
AMD Ryzen 7 1700X,NVIDIA GeForce RTX 2070 SUPER,callOfDutyWW2,8.0,16.0,3400.0,3800.0,16.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,159.3
Intel Core i9-9900K,NVIDIA GeForce RTX 2070,callOfDutyWW2,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,198.1
Intel Core i7-9700K,NVIDIA GeForce RTX 2070,callOfDutyWW2,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,196.4
Intel Core i7-8700K,NVIDIA GeForce RTX 2070,callOfDutyWW2,6.0,12.0,3700.0,4700.0,12.0,95.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,182.3
Intel Core i7-7700K,NVIDIA GeForce RTX 2070,callOfDutyWW2,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,177.1
Intel Core i5-9400F,NVIDIA GeForce RTX 2070,callOfDutyWW2,6.0,6.0,2900.0,4100.0,9.0,65.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,175.1
Intel Core i5-8600K,NVIDIA GeForce RTX 2070,callOfDutyWW2,6.0,6.0,3600.0,4300.0,9.0,95.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,173.5
Intel Core i5-8400,NVIDIA GeForce RTX 2070,callOfDutyWW2,6.0,6.0,2800.0,4000.0,9.0,65.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,170.0
Intel Core i5-7600K,NVIDIA GeForce RTX 2070,callOfDutyWW2,4.0,4.0,3800.0,4200.0,6.0,91.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,168.2
Intel Core i5-7500,NVIDIA GeForce RTX 2070,callOfDutyWW2,4.0,4.0,3400.0,3800.0,6.0,65.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,159.3
Intel Core i3-7100,NVIDIA GeForce RTX 2070,callOfDutyWW2,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,132.7
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2070,callOfDutyWW2,12.0,24.0,3800.0,4600.0,64.0,105.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,189.4
AMD Ryzen 7 3800X,NVIDIA GeForce RTX 2070,callOfDutyWW2,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,187.6
AMD Ryzen 7 3700X,NVIDIA GeForce RTX 2070,callOfDutyWW2,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,184.9
AMD Ryzen 5 3600X,NVIDIA GeForce RTX 2070,callOfDutyWW2,6.0,12.0,3800.0,4400.0,32.0,95.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,184.0
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2070,callOfDutyWW2,6.0,12.0,3600.0,4200.0,32.0,65.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,178.7
