CpuName,GpuName,GameName,CpuNumberOfCores,CpuNumberOfThreads,CpuFrequency,CpuTurboClock,CpuCacheL3,CpuTDP,GpuMemorySize,GpuBandwidth,GpuMemoryBus,GpuNumberOfShadingUnits,GpuBaseClock,GpuBoostClock,GpuNumberOfROPs,GpuFP32Performance,GameSetting,GameSetting_Normalized,GameSetting_Ordinal,GameResolution,FPS,y_true,y_pred,abs_error,pct_error
Intel Core i7-7700K,NVIDIA GeForce RTX 2080 Ti,worldOfTanks,4.0,8.0,4200.0,4500.0,8.0,91.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,96.3,96.3,108.20608902934671,11.906089029346717,12.363540009705833
Intel Core i5-9400F,NVIDIA GeForce RTX 2080 Ti,counterStrikeGlobalOffensive,6.0,6.0,2900.0,4100.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,339.6,339.6,327.7926183712969,11.807381628703126,3.476849713987964
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2080 Ti,warframe,12.0,24.0,3800.0,4600.0,64.0,105.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,252.9,252.9,241.2504919576801,11.649508042319894,4.606369332668997
Intel Core i5-8400,NVIDIA GeForce RTX 2080 Ti,worldOfTanks,6.0,6.0,2800.0,4000.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,92.5,92.5,103.1964207959706,10.696420795970596,11.56369815780605
Intel Core i7-9700K,NVIDIA GeForce RTX 2070 SUPER,counterStrikeGlobalOffensive,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,353.3,353.3,342.82904494379017,10.470955056209846,2.963757445856169
Intel Core i3-7100,NVIDIA GeForce GTX 1060 6 GB GDDR5X,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,6000.0,192200.0,192.0,1280.0,1506.0,1709.0,48.0,4375000.0,max,ultra,4,1080.0,132.8,132.8,122.33637231197352,10.463627688026492,7.879237716887418
AMD Ryzen 7 3800X,AMD Radeon RX 590,counterStrikeGlobalOffensive,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,285.0,285.0,274.6846885735395,10.315311426460482,3.6194075180563097
AMD Ryzen 5 2600,NVIDIA GeForce RTX 2080 Ti,worldOfTanks,6.0,12.0,3400.0,3900.0,16.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,87.6,87.6,97.84849204775048,10.248492047750489,11.69919183533161
Intel Core i3-7100,NVIDIA GeForce RTX 2070,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,max,ultra,4,1080.0,170.3,170.3,180.51346250635743,10.213462506357416,5.997335587996134
Intel Core i5-8400,NVIDIA GeForce RTX 2080 Ti,warframe,6.0,6.0,2800.0,4000.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,226.4,226.4,216.3411986740243,10.058801325975708,4.4429334478691285
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2080 Ti,totalWar3Kingdoms,12.0,24.0,3800.0,4600.0,64.0,105.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,113.7,113.7,123.60882727013387,9.90882727013387,8.714887660627852
AMD Ryzen 5 1600X,NVIDIA GeForce RTX 2080 Ti,counterStrikeGlobalOffensive,6.0,12.0,3600.0,4000.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,324.8,324.8,334.4816449134138,9.681644913413777,2.9808020053613844
AMD Ryzen 5 2600,AMD Radeon RX 590,counterStrikeGlobalOffensive,6.0,12.0,3400.0,3900.0,16.0,65.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,244.1,244.1,234.85671745443796,9.243282545562039,3.7866786339869063
Intel Core i7-9700K,NVIDIA GeForce RTX 2080 Ti,overwatch,8.0,8.0,3600.0,4900.0,12.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,245.4,245.4,236.16538579595854,9.234614204041463,3.763086472714533
Intel Core i3-7100,NVIDIA GeForce RTX 2080 Ti,warframe,2.0,4.0,3900.0,3900.0,3.0,51.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,176.9,176.9,167.83655342293468,9.06344657706532,5.1234859112862186
Intel Core i9-9900K,AMD Radeon RX 590,leagueOfLegends,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,271.5,271.5,262.45030035157976,9.049699648420244,3.3332227066004583
Intel Core i3-7100,NVIDIA GeForce GTX 1080 11Gbps,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,352300.0,256.0,2560.0,1607.0,1733.0,64.0,8873000.0,max,ultra,4,1080.0,169.6,169.6,178.64084852550283,9.040848525502838,5.330688989093655
Intel Core i9-9900K,NVIDIA GeForce RTX 2070 SUPER,counterStrikeGlobalOffensive,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,356.4,356.4,347.39828521697723,9.001714783022749,2.5257336652701317
Intel Core i3-7100,AMD Radeon Pro Vega 64,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,16000.0,402400.0,2048.0,4096.0,1250.0,1350.0,64.0,11060000.0,max,ultra,4,1080.0,155.8,155.8,164.7101980675049,8.910198067504894,5.718997475933821
Intel Core i5-7500,NVIDIA GeForce RTX 2080 Ti,battlefield4,4.0,4.0,3400.0,3800.0,6.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,83.2,83.2,92.04766532839275,8.84766532839275,10.63421313508744
Intel Core i7-7700K,AMD Radeon RX 5700 XT,counterStrikeGlobalOffensive,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,448000.0,256.0,2560.0,1605.0,1905.0,64.0,9754000.0,max,ultra,4,1080.0,243.2,243.2,251.98251581627412,8.782515816274127,3.6112318323495587
Intel Core i3-7100,NVIDIA GeForce GTX 1050 3 GB,counterStrikeGlobalOffensive,2.0,4.0,3900.0,3900.0,3.0,51.0,3000.0,84100.0,96.0,768.0,1392.0,1518.0,24.0,2332000.0,med,medium,2,1080.0,128.7,128.7,137.42405446390475,8.724054463904764,6.778597097051099
AMD Ryzen 5 2600X,AMD Radeon RX 590,counterStrikeGlobalOffensive,6.0,12.0,3600.0,4250.0,16.0,95.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,262.8,262.8,254.10772131280618,8.692278687193834,3.307564188429921
AMD Ryzen 7 3800X,NVIDIA GeForce RTX 2080 Ti,battlefield4,8.0,16.0,3900.0,4500.0,32.0,105.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,97.8,97.8,106.45338896602124,8.65338896602124,8.84804597752683
Intel Core i7-8700K,NVIDIA GeForce RTX 2080 Ti,totalWar3Kingdoms,6.0,12.0,3700.0,4700.0,12.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,109.9,109.9,118.55081672534902,8.650816725349017,7.871534781937231
Intel Core i7-9700K,NVIDIA GeForce RTX 2070 SUPER,counterStrikeGlobalOffensive,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,max,ultra,4,1080.0,291.5,291.5,282.9528216600004,8.547178339999618,2.932136651800898
Intel Core i3-7100,NVIDIA GeForce GTX 1060 6 GB GDDR5X,counterStrikeGlobalOffensive,2.0,4.0,3900.0,3900.0,3.0,51.0,6000.0,192200.0,192.0,1280.0,1506.0,1709.0,48.0,4375000.0,med,medium,2,1080.0,199.8,199.8,191.49215966929648,8.307840330703527,4.158078243595359
Intel Core i5-7500,NVIDIA GeForce GTX 1660,battlefield4,4.0,4.0,3400.0,3800.0,6.0,65.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,max,ultra,4,1080.0,48.7,48.7,56.93908325042612,8.23908325042612,16.918035421819546
Intel Core i7-9700K,NVIDIA GeForce RTX 2080 Ti,battlefield4,8.0,8.0,3600.0,4900.0,12.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,102.5,102.5,110.56481767484281,8.064817674842814,7.868114804724696
Intel Core i3-7100,AMD Radeon Pro Vega 64,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,16000.0,402400.0,2048.0,4096.0,1250.0,1350.0,64.0,11060000.0,med,medium,2,1080.0,200.0,200.0,207.9851859983781,7.985185998378114,3.992592999189057
AMD Ryzen 5 2600,NVIDIA GeForce GTX 980,counterStrikeGlobalOffensive,6.0,12.0,3400.0,3900.0,16.0,65.0,4000.0,224400.0,256.0,2048.0,1127.0,1216.0,64.0,4981000.0,med,medium,2,1080.0,222.9,222.9,215.09039576329928,7.8096042367007215,3.5036358172726425
AMD Ryzen 5 3600X,NVIDIA GeForce RTX 2080 Ti,overwatch,6.0,12.0,3800.0,4400.0,32.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,229.9,229.9,222.10549981164073,7.7945001883592795,3.390387206767847
Intel Core i7-7700K,NVIDIA GeForce GTX 1070 GDDR5X,counterStrikeGlobalOffensive,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,max,ultra,4,1080.0,208.7,208.7,216.36526823809803,7.665268238098037,3.6728645127446273
Intel Core i5-9400F,NVIDIA GeForce RTX 2080 Ti,warframe,6.0,6.0,2900.0,4100.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,234.0,234.0,226.39242491404113,7.607575085958871,3.2511004640849874
AMD Ryzen 7 1700X,NVIDIA GeForce RTX 2080 Ti,warframe,8.0,16.0,3400.0,3800.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,214.1,214.1,221.68100738159552,7.581007381595526,3.540872200651811
AMD Ryzen 5 2600X,NVIDIA GeForce GTX 1080 Ti,leagueOfLegends,6.0,12.0,3600.0,4250.0,16.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,max,ultra,4,1080.0,236.7,236.7,244.24272312001642,7.542723120016433,3.1866172877128993
AMD Ryzen 7 3700X,NVIDIA GeForce GTX 1070 GDDR5X,pathOfExile,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,med,medium,2,1080.0,183.5,183.5,191.03312366861812,7.533123668618117,4.105244506058919
AMD Ryzen 5 3600,NVIDIA GeForce GTX 1080 Ti,leagueOfLegends,6.0,12.0,3600.0,4200.0,32.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,max,ultra,4,1080.0,243.9,243.9,251.42332031124914,7.523320311249137,3.0845921735338813
AMD Ryzen 7 3700X,NVIDIA GeForce GTX 1080 11Gbps,counterStrikeGlobalOffensive,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,352300.0,256.0,2560.0,1607.0,1733.0,64.0,8873000.0,max,ultra,4,1080.0,260.4,260.4,267.8456702222133,7.445670222213323,2.8593203618330736
AMD Ryzen 7 1700X,NVIDIA GeForce RTX 2080 Ti,farCry5,8.0,16.0,3400.0,3800.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,129.8,129.8,137.1925593420546,7.3925593420545965,5.695346180319412
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2080 Ti,pathOfExile,6.0,12.0,3600.0,4200.0,32.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,218.6,218.6,211.24114747927683,7.358852520723161,3.3663552244845207
Intel Core i9-9900K,NVIDIA GeForce RTX 2080,counterStrikeGlobalOffensive,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,448000.0,256.0,2944.0,1515.0,1710.0,64.0,10070000.0,med,medium,2,1080.0,367.0,367.0,359.6738467645249,7.32615323547509,1.996227039638989
Intel Core i7-9700K,NVIDIA GeForce RTX 2060,counterStrikeGlobalOffensive,8.0,8.0,3600.0,4900.0,12.0,95.0,6000.0,336000.0,192.0,1920.0,1365.0,1680.0,48.0,6451000.0,med,medium,2,1080.0,330.7,330.7,323.4355428815525,7.264457118447467,2.1966909943899204
AMD Ryzen 5 3600,AMD Radeon RX 590,warframe,6.0,12.0,3600.0,4200.0,32.0,65.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,187.1,187.1,179.93231896659105,7.16768103340894,3.8309358810309675
AMD Ryzen 7 1700X,NVIDIA GeForce RTX 2080 Ti,destiny2,8.0,16.0,3400.0,3800.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,147.6,147.6,154.66205805000604,7.062058050006044,4.784592174800843
AMD Ryzen 5 3600X,NVIDIA GeForce GTX 1050 Ti,leagueOfLegends,6.0,12.0,3800.0,4400.0,32.0,95.0,4000.0,112100.0,128.0,768.0,1291.0,1392.0,32.0,2138000.0,max,ultra,4,1080.0,115.5,115.5,122.51840387181625,7.018403871816247,6.076540148758655
Intel Core i5-7500,NVIDIA GeForce RTX 2080 Ti,totalWar3Kingdoms,4.0,4.0,3400.0,3800.0,6.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,96.1,96.1,103.10829566373614,7.008295663736149,7.292711408674453
Intel Core i5-8600K,NVIDIA GeForce RTX 2080 Ti,warframe,6.0,6.0,3600.0,4300.0,9.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,231.1,231.1,224.1329001820574,6.9670998179425965,3.0147554383135424
AMD Ryzen 5 3600X,NVIDIA GeForce GTX 1080 11Gbps,counterStrikeGlobalOffensive,6.0,12.0,3800.0,4400.0,32.0,95.0,8000.0,352300.0,256.0,2560.0,1607.0,1733.0,64.0,8873000.0,max,ultra,4,1080.0,259.2,259.2,266.1593625506941,6.959362550694095,2.6849392556690184
AMD Ryzen 5 2600,NVIDIA GeForce GTX 1660,battlefield4,6.0,12.0,3400.0,3900.0,16.0,65.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,max,ultra,4,1080.0,49.3,49.3,56.25675680479008,6.956756804790082,14.11106856955392
Intel Core i5-8600K,NVIDIA GeForce GTX 1070 GDDR5X,pathOfExile,6.0,6.0,3600.0,4300.0,9.0,95.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,med,medium,2,1080.0,172.8,172.8,179.68733721592224,6.88733721592223,3.9857275555105494
AMD Ryzen 9 3900X,AMD Radeon RX 580,counterStrikeGlobalOffensive,12.0,24.0,3800.0,4600.0,64.0,105.0,8000.0,256000.0,256.0,2304.0,1257.0,1340.0,32.0,6175000.0,max,ultra,4,1080.0,152.0,152.0,158.86237257850223,6.862372578502232,4.514718801646205
AMD Ryzen 7 1700X,NVIDIA GeForce GTX 1660 SUPER,counterStrikeGlobalOffensive,8.0,16.0,3400.0,3800.0,16.0,95.0,6000.0,336000.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,med,medium,2,1080.0,242.3,242.3,249.15107026977154,6.851070269771526,2.8275155880196143
Intel Core i5-7500,AMD Radeon RX 580,counterStrikeGlobalOffensive,4.0,4.0,3400.0,3800.0,6.0,65.0,8000.0,256000.0,256.0,2304.0,1257.0,1340.0,32.0,6175000.0,med,medium,2,1080.0,189.3,189.3,196.1205537496794,6.820553749679391,3.603039487416477
Intel Core i3-7100,NVIDIA GeForce GTX 1070 Ti,counterStrikeGlobalOffensive,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,max,ultra,4,1080.0,171.1,171.1,177.91487775357353,6.8148777535735405,3.9829794001014265
Intel Core i3-7100,AMD Radeon RX 590,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,181.8,181.8,175.04802923112746,6.751970768872553,3.713955318411745
Intel Core i5-7500,NVIDIA GeForce GTX 1080 Ti,counterStrikeGlobalOffensive,4.0,4.0,3400.0,3800.0,6.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,290.2,290.2,283.4793930840691,6.720606915930887,2.3158535203069905
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2070 SUPER,counterStrikeGlobalOffensive,6.0,12.0,3600.0,4200.0,32.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,max,ultra,4,1080.0,265.2,265.2,258.4940055128996,6.705994487100384,2.5286555381223166
AMD Ryzen 7 1700X,NVIDIA GeForce RTX 2080 Ti,totalWar3Kingdoms,8.0,16.0,3400.0,3800.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,93.9,93.9,100.60453882886681,6.704538828866802,7.140083949804901
Intel Core i7-7700K,NVIDIA GeForce GTX 1070 GDDR5X,pathOfExile,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,med,medium,2,1080.0,176.4,176.4,183.05624081096732,6.656240810967319,3.7733791445392963
Intel Core i5-9400F,NVIDIA GeForce RTX 2060,pathOfExile,6.0,6.0,2900.0,4100.0,9.0,65.0,6000.0,336000.0,192.0,1920.0,1365.0,1680.0,48.0,6451000.0,med,medium,2,1080.0,186.1,186.1,192.74837588318894,6.6483758831889475,3.572474950665743
Intel Core i5-8400,NVIDIA GeForce GTX 1070 GDDR5X,overwatch,6.0,6.0,2800.0,4000.0,9.0,65.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,med,medium,2,1080.0,172.5,172.5,179.14376474821702,6.6437647482170235,3.851457825053347
AMD Ryzen 5 2600,NVIDIA GeForce RTX 2080 Ti,battlefield4,6.0,12.0,3400.0,3900.0,16.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,84.1,84.1,90.72479277521481,6.624792775214814,7.877280351028318
Intel Core i3-7100,NVIDIA GeForce RTX 2080 Ti,starcraft2,2.0,4.0,3900.0,3900.0,3.0,51.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,160.2,160.2,153.640125504037,6.559874495962987,4.094803056156671
AMD Ryzen 7 1700X,NVIDIA GeForce GTX 980 Ti,counterStrikeGlobalOffensive,8.0,16.0,3400.0,3800.0,16.0,95.0,6000.0,336600.0,384.0,2816.0,1000.0,1076.0,96.0,6060000.0,med,medium,2,1080.0,242.3,242.3,248.8328270631405,6.532827063140502,2.696172952183451
AMD Ryzen 7 3800X,NVIDIA GeForce GTX 1050 Ti,leagueOfLegends,8.0,16.0,3900.0,4500.0,32.0,105.0,4000.0,112100.0,128.0,768.0,1291.0,1392.0,32.0,2138000.0,max,ultra,4,1080.0,117.8,117.8,124.31575171106432,6.5157517110643255,5.531198396489241
Intel Core i5-9400F,AMD Radeon RX 580,counterStrikeGlobalOffensive,6.0,6.0,2900.0,4100.0,9.0,65.0,8000.0,256000.0,256.0,2304.0,1257.0,1340.0,32.0,6175000.0,med,medium,2,1080.0,208.4,208.4,214.83391855772206,6.433918557722052,3.087292973954919
Intel Core i5-7500,NVIDIA GeForce GTX 1080 Ti,dota2,4.0,4.0,3400.0,3800.0,6.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,192.2,192.2,185.77129534993688,6.428704650063111,3.3447995057560407
Intel Core i9-9900K,NVIDIA GeForce GTX TITAN X,dota2,8.0,16.0,3600.0,5000.0,16.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,237.6,237.6,231.1790290591838,6.420970940816204,2.7024288471448674
Intel Core i7-8700K,NVIDIA GeForce GTX 1070 GDDR5X,totalWar3Kingdoms,6.0,12.0,3700.0,4700.0,12.0,95.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,med,medium,2,1080.0,89.2,89.2,82.78972565406067,6.410274345939328,7.186406217420771
Intel Core i3-7100,AMD Radeon RX 5700,counterStrikeGlobalOffensive,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,med,medium,2,1080.0,224.4,224.4,230.79477686124287,6.39477686124286,2.849722308931756
Intel Core i5-7500,NVIDIA GeForce GTX 1080 Ti,overwatch,4.0,4.0,3400.0,3800.0,6.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,187.3,187.3,180.94627141504637,6.353728584953643,3.392273670557204
Intel Core i3-7100,NVIDIA GeForce GTX 980 Ti,pathOfExile,2.0,4.0,3900.0,3900.0,3.0,51.0,6000.0,336600.0,384.0,2816.0,1000.0,1076.0,96.0,6060000.0,med,medium,2,1080.0,131.1,131.1,124.78924295704125,6.310757042958741,4.813697210494845
Intel Core i3-7100,NVIDIA GeForce RTX 2070 SUPER,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,215.3,215.3,221.57517270716593,6.275172707165922,2.9146180711406973
Intel Core i5-9400F,NVIDIA GeForce RTX 2080 Ti,battlefield4,6.0,6.0,2900.0,4100.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,91.4,91.4,97.6623090592654,6.262309059265391,6.851541640334126
AMD Ryzen 7 1700X,AMD Radeon RX 590,callOfDutyWW2,8.0,16.0,3400.0,3800.0,16.0,95.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,134.5,134.5,140.74154891127034,6.241548911270343,4.640556811353415
AMD Ryzen 5 2600,NVIDIA GeForce GTX 1050 Ti,leagueOfLegends,6.0,12.0,3400.0,3900.0,16.0,65.0,4000.0,112100.0,128.0,768.0,1291.0,1392.0,32.0,2138000.0,max,ultra,4,1080.0,101.1,101.1,107.30844982054631,6.2084498205463206,6.140899921410802
AMD Ryzen 7 3700X,AMD Radeon RX 580,leagueOfLegends,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,256000.0,256.0,2304.0,1257.0,1340.0,32.0,6175000.0,max,ultra,4,1080.0,133.8,133.8,139.98295101607943,6.182951016079414,4.621039623377738
Intel Core i3-7100,NVIDIA GeForce GTX TITAN X,leagueOfLegends,2.0,4.0,3900.0,3900.0,3.0,51.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,216.4,216.4,222.56809403117683,6.168094031176821,2.8503207168099913
