CPU,CPU Cores,CPU Threads,CPU TDP (W),GPU,GPU Series,GPU VRAM (GB),GPU Bandwidth (GB/s),GPU TDP (W),Total System TDP (W),Bottleneck Score,RAM (GB),Resolution,Graphics Settings,Min FPS,Avg FPS,Max FPS
Intel i5-12600K,10,16,125,RTX 3080 Ti,RTX 3000,12,912,300,425,6.12,8,2560x1440,High,46,60,69
Intel i3-12100F,4,8,58,RTX 4070,RTX 4000,12,504,150,208,10.62,8,3840x2160,Low,44,54,66
Ryzen 3 4100,4,8,65,RTX 4060,RTX 4000,8,272,300,365,8.75,32,3840x2160,Medium,36,45,57
Ryzen 9 7950X3D,16,32,170,RTX 3090,RTX 3000,24,936,150,320,3.12,32,1920x1080,Low,92,125,136
Ryzen 3 4100,4,8,65,Intel Arc A770,Intel Arc,16,560,150,215,8.12,32,3840x2160,Ultra,25,33,36
Intel i5-12400F,6,12,65,RTX 4070 Super,RTX 4000,12,504,120,185,7.33,16,3840x2160,Medium,39,53,67
Ryzen 7 5800X,8,16,105,RTX 3070,RTX 3000,8,448,250,355,5.0,32,3840x2160,Medium,41,50,64
Intel i7-13700K,16,24,125,RTX 3080 Ti,RTX 3000,12,912,250,375,4.08,16,1920x1080,Medium,75,93,108
Intel i9-14900K,24,32,125,RTX 4090,RTX 4000,24,1012,250,375,3.75,16,1920x1080,Low,121,147,168
Ryzen 7 5800X,8,16,105,RTX 4070,RTX 4000,12,504,120,225,5.31,8,1920x1080,Medium,55,73,84
Ryzen 3 4100,4,8,65,RTX 4080 Super,RTX 4000,16,742,120,185,13.5,32,3840x2160,Ultra,43,56,71
Ryzen 3 4100,4,8,65,RTX 3060,RTX 3000,12,360,200,265,8.12,8,3840x2160,High,20,26,32
Ryzen 9 5900X,12,24,105,RX 7800 XT,RX 7000,16,624,300,405,3.54,32,1920x1080,Ultra,41,59,69
Intel i9-13900K,24,32,125,RTX 4070 Super,RTX 4000,12,504,120,245,2.75,32,2560x1440,Low,77,98,120
Ryzen 5 5600X,6,12,65,RX 7800 XT,RX 7000,16,624,250,315,7.08,16,2560x1440,Ultra,36,49,55
Ryzen 7 7800X3D,8,16,120,RTX 3060,RTX 3000,12,360,250,370,4.06,16,3840x2160,High,25,36,41
Ryzen 5 7600X,6,12,105,RX 6900 XT,RX 6000,16,512,150,255,7.5,32,2560x1440,Ultra,40,52,67
Intel i5-12600K,10,16,125,RTX 4060,RTX 4000,8,272,150,275,4.38,8,3840x2160,High,28,35,42
Intel i9-13900K,24,32,125,Intel Arc A750,Intel Arc,8,512,250,375,1.72,8,1920x1080,Low,47,60,74
Ryzen 9 5900X,12,24,105,RTX 3060 Ti,RTX 3000,8,448,120,225,2.92,16,3840x2160,Ultra,21,30,37
Ryzen 9 5900X,12,24,105,RTX 3080,RTX 3000,10,760,150,255,3.96,8,1920x1080,Ultra,48,57,64
Ryzen 9 7950X,16,32,170,RX 7900 XTX,RX 7000,24,960,300,470,3.28,16,3840x2160,High,47,59,70
Ryzen 9 7950X,16,32,170,Intel Arc A770,Intel Arc,16,560,300,470,2.03,16,3840x2160,Ultra,19,27,33
Ryzen 9 7950X3D,16,32,170,RTX 3080 Ti,RTX 3000,12,912,300,470,3.06,8,2560x1440,Ultra,37,51,60
Intel i5-12600K,10,16,125,GTX 1650 Super,GTX 1000,4,192,250,375,2.5,16,1920x1080,Medium,33,41,45
Ryzen 5 7600X,6,12,105,RX 6900 XT,RX 6000,16,512,120,225,7.5,8,2560x1440,Low,61,81,101
Ryzen 7 7800X3D,8,16,120,RX 7600,RX 7000,8,288,250,370,3.75,16,1920x1080,High,43,53,68
Intel i9-14900K,24,32,125,RX 7700 XT,RX 7000,12,432,250,375,2.34,16,1920x1080,High,47,63,77
Intel i9-12900K,16,24,125,RX 6900 XT,RX 6000,16,512,250,375,3.75,16,1920x1080,Low,86,108,120
Intel i7-13700K,16,24,125,RX 6900 XT,RX 6000,16,512,250,375,3.75,16,1920x1080,Low,77,106,123
Ryzen 3 4100,4,8,65,RX 6700 XT,RX 6000,12,384,200,265,8.75,16,2560x1440,Low,51,66,85
Intel i9-14900K,24,32,125,GTX 1060,GTX 1000,6,192,150,275,1.41,8,3840x2160,Low,24,33,37
Intel i9-14900K,24,32,125,GTX 1650 Super,GTX 1000,4,192,200,325,1.25,32,2560x1440,Low,36,47,54
Intel i9-12900K,16,24,125,GTX 1660,GTX 1000,6,192,250,375,2.08,8,1920x1080,High,31,37,44
Ryzen 7 7800X3D,8,16,120,RTX 3060 Ti,RTX 3000,8,448,120,240,4.38,8,1920x1080,Medium,44,60,74
Intel i5-12400F,6,12,65,RTX 4080 Super,RTX 4000,16,742,250,315,9.0,32,3840x2160,Ultra,38,49,57
Ryzen 9 7950X3D,16,32,170,GTX 1080 Ti,GTX 1000,11,484,150,320,2.03,32,2560x1440,High,40,52,59
Ryzen 3 4100,4,8,65,RX 7600,RX 7000,8,288,120,185,7.5,32,2560x1440,Ultra,27,38,43
Ryzen 3 4100,4,8,65,RX 6800 XT,RX 6000,16,512,200,265,10.62,32,1920x1080,Ultra,47,63,69
Intel i9-12900K,16,24,125,RX 7700 XT,RX 7000,12,432,200,325,3.12,16,1920x1080,High,51,62,76
Intel i3-12100F,4,8,58,RX 7900 XTX,RX 7000,24,960,250,308,13.12,8,1920x1080,Low,83,109,136
Ryzen 9 7950X3D,16,32,170,RX 6800 XT,RX 6000,16,512,300,470,2.66,16,1920x1080,Low,79,99,114
Ryzen 7 5800X,8,16,105,RX 7600,RX 7000,8,288,250,355,3.75,16,3840x2160,High,29,38,44
Ryzen 3 4100,4,8,65,RTX 4070,RTX 4000,12,504,150,215,10.62,8,2560x1440,Medium,47,63,78
Intel i9-13900K,24,32,125,RTX 3070,RTX 3000,8,448,200,325,2.5,16,3840x2160,Ultra,32,38,45
Intel i7-12700F,12,20,65,RTX 3060 Ti,RTX 3000,8,448,200,265,3.5,16,2560x1440,Medium,39,56,67
Intel i5-12400F,6,12,65,RTX 2080 Ti,RTX 2000,11,616,120,185,7.08,32,3840x2160,High,42,54,66
Intel i3-12100F,4,8,58,RTX 4060,RTX 4000,8,272,250,308,8.75,16,2560x1440,Ultra,33,40,46
Intel i7-12700F,12,20,65,GTX 1060,GTX 1000,6,192,300,365,2.25,8,2560x1440,Ultra,18,23,26
Ryzen 5 5600X,6,12,65,GTX 1070,GTX 1000,8,256,150,215,4.58,32,1920x1080,Low,56,71,89
Ryzen 7 7800X3D,8,16,120,RX 6800 XT,RX 6000,16,512,300,420,5.31,32,2560x1440,High,51,69,84
Intel i7-12700F,12,20,65,RTX 3070,RTX 3000,8,448,120,185,4.0,16,3840x2160,Medium,38,53,60
Intel i9-12900K,16,24,125,RTX 2060,RTX 2000,6,336,200,325,2.5,32,2560x1440,Ultra,27,38,43
Ryzen 9 7950X,16,32,170,GTX 1060,GTX 1000,6,192,150,320,1.41,16,3840x2160,Medium,25,32,39
Ryzen 9 5900X,12,24,105,GTX 1660,GTX 1000,6,192,120,225,2.08,32,3840x2160,Medium,21,29,33
Intel i9-12900K,16,24,125,RTX 4070,RTX 4000,12,504,200,325,3.54,16,3840x2160,High,34,43,53
Ryzen 9 7950X3D,16,32,170,RX 6800 XT,RX 6000,16,512,150,320,2.66,16,1920x1080,Low,82,104,114
Intel i3-12100F,4,8,58,RTX 4090,RTX 4000,24,1012,150,208,15.0,8,3840x2160,Low,63,79,101
Ryzen 9 5900X,12,24,105,RX 7700 XT,RX 7000,12,432,150,255,3.12,16,1920x1080,Ultra,38,51,57
Ryzen 5 7600X,6,12,105,RX 6700 XT,RX 6000,12,384,120,225,5.83,16,3840x2160,Ultra,25,33,41
Ryzen 9 7950X,16,32,170,GTX 1070,GTX 1000,8,256,120,290,1.72,16,2560x1440,High,28,35,44
Ryzen 9 7950X,16,32,170,RX 6700 XT,RX 6000,12,384,120,290,2.19,32,1920x1080,Medium,58,71,87
Intel i9-13900K,24,32,125,RTX 4090,RTX 4000,24,1012,300,425,3.75,16,3840x2160,Medium,61,77,86
Intel i9-14900K,24,32,125,Intel Arc A770,Intel Arc,16,560,120,245,2.03,32,2560x1440,Low,49,68,86
Ryzen 9 7950X,16,32,170,GTX 1660,GTX 1000,6,192,250,420,1.56,16,3840x2160,Medium,26,36,44
Ryzen 9 7950X3D,16,32,170,RX 7600,RX 7000,8,288,150,320,1.88,32,1920x1080,Ultra,28,40,48
Intel i5-12600K,10,16,125,RTX 4090,RTX 4000,24,1012,300,425,7.5,32,2560x1440,High,61,88,109
Ryzen 9 7950X3D,16,32,170,Intel Arc A750,Intel Arc,8,512,200,370,1.72,16,2560x1440,Ultra,25,31,36
Intel i9-13900K,24,32,125,RTX 3080 Ti,RTX 3000,12,912,250,375,3.06,8,3840x2160,Ultra,31,41,47
Ryzen 7 7800X3D,8,16,120,RX 6600,RX 6000,8,224,200,320,3.44,16,3840x2160,Medium,28,40,51
Intel i7-12700F,12,20,65,RX 6800 XT,RX 6000,16,512,150,215,4.25,8,1920x1080,Ultra,39,52,64
Intel i5-12600K,10,16,125,RX 7600,RX 7000,8,288,300,425,3.75,32,2560x1440,High,37,47,60
Ryzen 7 7800X3D,8,16,120,RTX 4070 Ti,RTX 4000,12,576,200,320,5.62,32,3840x2160,Ultra,26,38,46
Intel i9-14900K,24,32,125,GTX 1070,GTX 1000,8,256,200,325,1.72,32,2560x1440,Low,43,61,68
Intel i3-12100F,4,8,58,RTX 2080,RTX 2000,8,448,250,308,10.0,16,2560x1440,Low,61,80,91
Intel i9-12900K,16,24,125,Intel Arc A770,Intel Arc,16,560,300,425,2.71,32,1920x1080,Low,67,85,98
Intel i7-13700K,16,24,125,RTX 3080,RTX 3000,10,760,200,325,3.96,16,2560x1440,High,46,66,83
Intel i9-12900K,16,24,125,GTX 1060,GTX 1000,6,192,250,375,1.88,32,2560x1440,High,26,32,39
Ryzen 5 5600X,6,12,65,RTX 3060 Ti,RTX 3000,8,448,200,265,5.83,8,2560x1440,Ultra,26,33,40
Intel i3-12100F,4,8,58,RX 6600 XT,RX 6000,8,256,300,358,7.5,32,2560x1440,Low,55,67,86
Ryzen 9 7950X3D,16,32,170,RTX 4060,RTX 4000,8,272,150,320,2.19,8,1920x1080,High,40,51,63
Intel i7-12700F,12,20,65,RTX 2080,RTX 2000,8,448,200,265,4.0,8,2560x1440,Ultra,32,41,45
Ryzen 5 7600X,6,12,105,RX 6700 XT,RX 6000,12,384,300,405,5.83,8,1920x1080,Medium,50,61,71
Ryzen 3 4100,4,8,65,Intel Arc A770,Intel Arc,16,560,120,185,8.12,16,2560x1440,Ultra,30,41,46
Intel i7-13700K,16,24,125,RTX 3080,RTX 3000,10,760,300,425,3.96,32,3840x2160,Ultra,35,43,47
Intel i7-12700F,12,20,65,RX 6900 XT,RX 6000,16,512,150,215,4.5,32,2560x1440,High,52,66,77
Ryzen 9 7950X3D,16,32,170,RTX 2070,RTX 2000,8,448,200,370,2.19,32,3840x2160,High,25,37,46
Ryzen 9 5900X,12,24,105,GTX 1660,GTX 1000,6,192,300,405,2.08,8,1920x1080,Low,37,49,54
Intel i7-13700K,16,24,125,RX 6600,RX 6000,8,224,300,425,2.29,32,2560x1440,High,37,46,56
Intel i7-13700K,16,24,125,RX 6700 XT,RX 6000,12,384,200,325,2.92,16,3840x2160,Low,46,55,63
Intel i9-13900K,24,32,125,RX 6800 XT,RX 6000,16,512,200,325,2.66,16,2560x1440,Medium,54,68,82
Intel i5-12400F,6,12,65,RX 6600 XT,RX 6000,8,256,150,215,5.0,8,2560x1440,Medium,38,47,52
Intel i3-12100F,4,8,58,RTX 2080 Ti,RTX 2000,11,616,300,358,10.62,8,2560x1440,Medium,46,64,80
Intel i9-13900K,24,32,125,RTX 3070,RTX 3000,8,448,150,275,2.5,8,1920x1080,High,47,60,68
Intel i7-13700K,16,24,125,RTX 3090,RTX 3000,24,936,150,275,4.17,32,1920x1080,Low,92,129,151
Ryzen 5 7600X,6,12,105,RTX 2070,RTX 2000,8,448,120,225,5.83,8,1920x1080,High,35,47,52
Ryzen 9 7950X3D,16,32,170,RX 6800 XT,RX 6000,16,512,300,470,2.66,16,2560x1440,Low,72,86,95
Ryzen 5 5600X,6,12,65,RX 6900 XT,RX 6000,16,512,120,185,7.5,8,3840x2160,Low,53,64,75
Ryzen 9 7950X3D,16,32,170,RX 6800 XT,RX 6000,16,512,300,470,2.66,16,1920x1080,Low,73,103,118
Ryzen 5 7600X,6,12,105,RX 6600,RX 6000,8,224,120,225,4.58,16,3840x2160,High,22,30,37
Intel i9-13900K,24,32,125,RX 6800,RX 6000,16,512,120,245,2.5,16,2560x1440,Medium,50,66,78
Ryzen 5 7600X,6,12,105,RX 6800,RX 6000,16,512,120,225,6.67,16,2560x1440,High,49,62,74
Intel i5-12600K,10,16,125,GTX 1070,GTX 1000,8,256,300,425,3.44,32,2560x1440,Low,49,61,74
Ryzen 5 7600X,6,12,105,GTX 1660,GTX 1000,6,192,120,225,4.17,32,2560x1440,High,32,42,54
Ryzen 5 5600X,6,12,65,RTX 4070,RTX 4000,12,504,120,185,7.08,32,2560x1440,Low,65,90,107
Ryzen 7 5800X,8,16,105,RTX 4070 Super,RTX 4000,12,504,300,405,5.5,32,1920x1080,High,58,76,91
Intel i3-12100F,4,8,58,RTX 4090,RTX 4000,24,1012,120,178,15.0,16,1920x1080,Medium,91,122,142
Intel i9-12900K,16,24,125,Intel Arc A750,Intel Arc,8,512,300,425,2.29,8,3840x2160,Ultra,14,18,20
Intel i9-13900K,24,32,125,RX 6600,RX 6000,8,224,300,425,1.72,16,2560x1440,Ultra,21,29,33
Intel i5-12600K,10,16,125,RTX 2080 Ti,RTX 2000,11,616,250,375,5.31,32,1920x1080,Medium,59,84,100
Ryzen 9 7950X3D,16,32,170,RX 6800 XT,RX 6000,16,512,200,370,2.66,8,2560x1440,High,38,54,63
Ryzen 9 7950X3D,16,32,170,RX 7900 XTX,RX 7000,24,960,150,320,3.28,8,3840x2160,High,39,47,52
Ryzen 5 5600X,6,12,65,RTX 3070,RTX 3000,8,448,150,215,6.67,16,1920x1080,High,46,66,82
Intel i7-13700K,16,24,125,RX 6600,RX 6000,8,224,250,375,2.29,32,3840x2160,Medium,29,38,44
Intel i5-12400F,6,12,65,RX 6800,RX 6000,16,512,250,315,6.67,8,1920x1080,Ultra,39,50,60
Ryzen 5 5600X,6,12,65,GTX 1660,GTX 1000,6,192,200,265,4.17,16,2560x1440,Low,39,47,56
Intel i5-12600K,10,16,125,RX 6800,RX 6000,16,512,200,325,5.0,16,1920x1080,Medium,62,80,94
Ryzen 5 7600X,6,12,105,RTX 3080,RTX 3000,10,760,200,305,7.92,8,2560x1440,Medium,48,68,82
Ryzen 7 5800X,8,16,105,Intel Arc A750,Intel Arc,8,512,120,225,3.44,8,1920x1080,Low,38,54,60
Intel i9-12900K,16,24,125,RX 7700 XT,RX 7000,12,432,300,425,3.12,32,2560x1440,Ultra,39,50,61
Ryzen 5 7600X,6,12,105,RTX 4070 Ti,RTX 4000,12,576,300,405,7.5,8,1920x1080,Ultra,42,53,66
Intel i5-12400F,6,12,65,RTX 4080 Super,RTX 4000,16,742,200,265,9.0,16,3840x2160,Low,58,83,97
Intel i5-12600K,10,16,125,GTX 1070,GTX 1000,8,256,120,245,3.44,16,3840x2160,Ultra,21,25,31
Ryzen 9 7950X,16,32,170,RTX 3060 Ti,RTX 3000,8,448,200,370,2.19,32,2560x1440,Ultra,27,40,44
Intel i5-12600K,10,16,125,RX 7800 XT,RX 7000,16,624,300,425,5.31,8,3840x2160,Medium,33,44,52
Intel i9-12900K,16,24,125,RTX 4070 Super,RTX 4000,12,504,200,325,3.67,16,2560x1440,High,46,62,75
Intel i5-12600K,10,16,125,RTX 4080,RTX 4000,16,716,300,425,6.56,16,1920x1080,Ultra,58,71,91
Intel i7-13700K,16,24,125,RTX 4080,RTX 4000,16,716,150,275,4.38,16,1920x1080,Medium,82,103,126
Intel i5-12600K,10,16,125,RTX 4070,RTX 4000,12,504,300,425,5.31,32,3840x2160,Ultra,35,43,52
Intel i5-12600K,10,16,125,RX 6800,RX 6000,16,512,250,375,5.0,8,3840x2160,High,26,36,40
Intel i9-13900K,24,32,125,RTX 3080,RTX 3000,10,760,300,425,2.97,8,1920x1080,Medium,64,78,94
Intel i5-12400F,6,12,65,RTX 4080,RTX 4000,16,716,300,365,8.75,32,3840x2160,Medium,50,70,88
Intel i9-12900K,16,24,125,RX 6800 XT,RX 6000,16,512,200,325,3.54,16,1920x1080,Ultra,44,61,72
Ryzen 9 7950X,16,32,170,RTX 3080,RTX 3000,10,760,150,320,2.97,16,3840x2160,Medium,53,66,84
Ryzen 7 5800X,8,16,105,RX 6800 XT,RX 6000,16,512,150,255,5.31,16,2560x1440,High,46,61,69
Intel i7-13700K,16,24,125,RTX 3090,RTX 3000,24,936,120,245,4.17,16,1920x1080,Ultra,50,70,88
Ryzen 5 5600X,6,12,65,GTX 1070,GTX 1000,8,256,150,215,4.58,16,1920x1080,High,36,50,59
Ryzen 9 7950X,16,32,170,RTX 4080 Super,RTX 4000,16,742,120,290,3.38,8,1920x1080,Ultra,47,63,74
Ryzen 7 5800X,8,16,105,RTX 3080,RTX 3000,10,760,150,255,5.94,8,1920x1080,High,56,71,89
Intel i5-12400F,6,12,65,RTX 4060,RTX 4000,8,272,120,185,5.83,32,2560x1440,Medium,48,62,79
Ryzen 3 4100,4,8,65,RTX 3070,RTX 3000,8,448,150,215,10.0,8,1920x1080,Ultra,36,49,55
Ryzen 9 5900X,12,24,105,RX 6900 XT,RX 6000,16,512,150,255,3.75,16,1920x1080,Low,75,108,129
Intel i7-13700K,16,24,125,RTX 4060,RTX 4000,8,272,120,245,2.92,32,2560x1440,Low,57,72,82
Ryzen 7 5800X,8,16,105,GTX 1060,GTX 1000,6,192,200,305,2.81,16,3840x2160,Low,26,38,44
Ryzen 3 4100,4,8,65,RTX 2070,RTX 2000,8,448,300,365,8.75,16,2560x1440,Low,54,68,76
Ryzen 5 7600X,6,12,105,GTX 1650 Super,GTX 1000,4,192,250,355,3.33,32,1920x1080,High,26,34,42
Ryzen 9 7950X3D,16,32,170,RTX 3060,RTX 3000,12,360,120,290,2.03,32,1920x1080,Low,64,84,97
Intel i9-13900K,24,32,125,RTX 2080,RTX 2000,8,448,120,245,2.5,32,2560x1440,High,48,59,69
Intel i9-13900K,24,32,125,RTX 4060,RTX 4000,8,272,250,375,2.19,32,2560x1440,Low,51,72,84
Ryzen 9 7950X,16,32,170,RX 6600,RX 6000,8,224,200,370,1.72,16,2560x1440,Medium,36,48,60
Intel i5-12600K,10,16,125,RX 6800,RX 6000,16,512,120,245,5.0,32,1920x1080,Ultra,45,63,72
Intel i5-12600K,10,16,125,RTX 4070 Ti,RTX 4000,12,576,250,375,5.62,16,3840x2160,High,39,49,55
Ryzen 7 5800X,8,16,105,RX 6800 XT,RX 6000,16,512,120,225,5.31,32,1920x1080,High,60,81,104
Intel i5-12600K,10,16,125,RX 6600 XT,RX 6000,8,256,120,245,3.75,8,2560x1440,Medium,31,40,50
Intel i7-13700K,16,24,125,GTX 1060,GTX 1000,6,192,250,375,1.88,16,1920x1080,High,29,37,45
Ryzen 7 5800X,8,16,105,RTX 4070 Super,RTX 4000,12,504,200,305,5.5,32,2560x1440,Low,67,90,105
Intel i9-14900K,24,32,125,GTX 1660,GTX 1000,6,192,200,325,1.56,16,1920x1080,Medium,41,50,56
Ryzen 9 7950X,16,32,170,RTX 3070,RTX 3000,8,448,120,290,2.5,32,3840x2160,High,39,50,56
Ryzen 9 7950X,16,32,170,RTX 3060,RTX 3000,12,360,200,370,2.03,8,3840x2160,Ultra,23,27,35
Intel i5-12600K,10,16,125,RTX 4060,RTX 4000,8,272,200,325,4.38,32,2560x1440,Medium,51,64,72
Intel i9-14900K,24,32,125,GTX 1660,GTX 1000,6,192,200,325,1.56,8,1920x1080,Medium,31,44,53
Ryzen 9 7950X,16,32,170,GTX 1650 Super,GTX 1000,4,192,300,470,1.25,8,3840x2160,Low,20,25,31
Ryzen 9 5900X,12,24,105,RX 6700 XT,RX 6000,12,384,300,405,2.92,8,3840x2160,Low,39,50,60
Ryzen 7 5800X,8,16,105,GTX 1650 Super,GTX 1000,4,192,120,225,2.5,8,3840x2160,Medium,17,21,23
Intel i7-13700K,16,24,125,RTX 4070,RTX 4000,12,504,300,425,3.54,16,1920x1080,Medium,65,89,114
Ryzen 5 5600X,6,12,65,GTX 1070,GTX 1000,8,256,300,365,4.58,32,2560x1440,Medium,39,54,65
Intel i5-12600K,10,16,125,RX 7800 XT,RX 7000,16,624,300,425,5.31,32,3840x2160,Medium,44,62,76
Ryzen 5 7600X,6,12,105,RTX 2080,RTX 2000,8,448,150,255,6.67,8,1920x1080,Low,69,85,98
Ryzen 9 5900X,12,24,105,RTX 2070,RTX 2000,8,448,250,355,2.92,32,2560x1440,High,44,58,72
Ryzen 5 5600X,6,12,65,RX 6900 XT,RX 6000,16,512,300,365,7.5,8,1920x1080,Low,70,91,104
Intel i7-13700K,16,24,125,RTX 4070 Ti,RTX 4000,12,576,200,325,3.75,32,3840x2160,High,42,57,66
Intel i7-12700F,12,20,65,RTX 4070 Ti,RTX 4000,12,576,200,265,4.5,8,1920x1080,Ultra,37,51,57
Ryzen 7 7800X3D,8,16,120,RX 6700 XT,RX 6000,12,384,150,270,4.38,16,1920x1080,Medium,59,74,84
Ryzen 9 7950X3D,16,32,170,RX 7800 XT,RX 7000,16,624,250,420,2.66,16,2560x1440,Ultra,35,50,58
Intel i9-14900K,24,32,125,RTX 3070,RTX 3000,8,448,250,375,2.5,8,3840x2160,High,26,33,42
Ryzen 5 5600X,6,12,65,RTX 2060,RTX 2000,6,336,200,265,5.0,8,1920x1080,Ultra,31,38,48
Intel i5-12400F,6,12,65,RX 6600 XT,RX 6000,8,256,300,365,5.0,16,1920x1080,Medium,42,60,72
Ryzen 3 4100,4,8,65,GTX 1660,GTX 1000,6,192,200,265,6.25,16,1920x1080,Low,49,58,70
Intel i7-13700K,16,24,125,RTX 3060 Ti,RTX 3000,8,448,250,375,2.92,32,3840x2160,Ultra,20,28,35
Ryzen 9 7950X,16,32,170,Intel Arc A750,Intel Arc,8,512,300,470,1.72,16,3840x2160,Medium,29,40,47
Ryzen 5 5600X,6,12,65,RTX 4080,RTX 4000,16,716,200,265,8.75,32,3840x2160,Ultra,39,50,55
Intel i7-12700F,12,20,65,RX 6700 XT,RX 6000,12,384,200,265,3.5,32,3840x2160,High,35,44,54
Intel i9-14900K,24,32,125,RTX 2080 Ti,RTX 2000,11,616,250,375,2.66,8,3840x2160,Ultra,26,32,40
Intel i7-13700K,16,24,125,RTX 3080 Ti,RTX 3000,12,912,150,275,4.08,8,1920x1080,Low,71,95,107
Ryzen 9 5900X,12,24,105,RX 7800 XT,RX 7000,16,624,300,405,3.54,32,3840x2160,Ultra,34,42,50
Ryzen 5 7600X,6,12,105,RX 7600,RX 7000,8,288,300,405,5.0,16,3840x2160,Ultra,23,31,37
Ryzen 7 5800X,8,16,105,RTX 3090,RTX 3000,24,936,200,305,6.25,8,3840x2160,Ultra,31,42,48
Ryzen 5 5600X,6,12,65,RTX 3070,RTX 3000,8,448,200,265,6.67,16,3840x2160,Ultra,28,36,46
Ryzen 5 5600X,6,12,65,GTX 1660,GTX 1000,6,192,200,265,4.17,16,3840x2160,Ultra,21,25,31
Intel i5-12400F,6,12,65,RTX 4060,RTX 4000,8,272,150,215,5.83,16,3840x2160,Low,46,58,72
Intel i9-13900K,24,32,125,RTX 4090,RTX 4000,24,1012,120,245,3.75,8,3840x2160,High,42,53,60
